# Frequency	NEF		NEP
  83.20808    3.13374   40.96860
  83.32729    3.13050   40.92669
  83.44650    3.26187   42.64306
  83.56571    3.14704   41.14526
  83.68492    3.06892   40.12369
  83.80413    3.08008   40.26505
  83.92334    3.26038   42.62291
  84.04255    3.26109   42.63722
  84.16176    3.01639   39.43614
  84.28097    3.23765   42.33006
  84.40018    3.11901   40.77523
  84.51939    3.20001   41.83594
  84.63860    3.28675   42.96860
  84.75780    3.41318   44.62128
  84.87701    3.15936   41.30169
  84.99622    3.03379   39.66413
  85.11543    3.20337   41.87923
  85.23464    3.23260   42.25828
  85.35385    3.19630   41.78659
  85.47306    3.29402   43.06361
  85.59227    3.16466   41.37163
  85.71148    3.01109   39.36553
  85.83069    2.94526   38.50378
  85.94990    3.08905   40.38264
  86.06911    3.29026   43.01124
  86.18832    3.08070   40.27318
  86.30753    2.88754   37.75100
  86.42673    3.03298   39.65257
  86.54594    3.16422   41.36548
  86.66515    3.17071   41.45283
  86.78436    3.14342   41.09479
  86.90357    3.23453   42.28660
  87.02278    3.31606   43.34989
  87.14199    3.29389   43.06076
  87.26120    3.23245   42.25923
  87.38041    3.13415   40.97339
  87.49962    3.00375   39.26747
  87.61883    3.16429   41.36403
  87.73804    3.20836   41.94542
  87.85725    3.24924   42.47739
  87.97646    3.15643   41.26468
  88.09566    3.17507   41.50738
  88.21487    3.10199   40.55400
  88.33408    3.14546   41.12175
  88.45329    3.05240   39.90495
  88.57250    2.96401   38.74713
  88.69171    2.99096   39.10050
  88.81092    3.14277   41.08583
  88.93013    3.16768   41.41399
  89.04934    3.02029   39.48459
  89.16855    3.18952   41.69724
  89.28776    3.31404   43.32548
  89.40697    3.22766   42.19653
  89.52618    3.25721   42.58178
  89.64539    3.01502   39.41190
  89.76460    3.05537   39.94038
  89.88380    3.09426   40.45465
  90.00301    3.08551   40.34130
  90.12222    3.19135   41.72313
  90.24143    3.28274   42.91703
  90.36064    3.23218   42.25368
  90.47985    3.08872   40.37794
  90.59906    3.02094   39.49464
  90.71827    2.96828   38.80326
  90.83748    3.09568   40.47046
  90.95669    3.20717   41.92694
  91.07590    3.14716   41.14123
  91.19511    3.06614   40.08173
  91.31432    3.07586   40.21009
  91.43353    3.29052   43.02103
  91.55273    3.27625   42.83169
  91.67194    3.06902   40.11993
  91.79115    3.07864   40.24691
  91.91036    3.11121   40.67179
  92.02957    3.22441   42.15470
  92.14878    3.13940   41.04239
  92.26799    3.14578   41.12468
  92.38720    3.28541   42.95008
  92.50641    3.22273   42.12961
  92.62562    3.19974   41.83016
  92.74483    3.04116   39.75831
  92.86404    2.96216   38.72477
  92.98325    3.06870   40.11926
  93.10246    3.11764   40.76030
  93.22166    3.16142   41.33272
  93.34087    3.18291   41.61384
  93.46008    3.08159   40.28725
  93.57929    3.08160   40.28616
  93.69850    3.24008   42.35783
  93.81771    3.00842   39.33082
  93.93692    3.03069   39.62300
  94.05613    2.98374   39.00590
  94.17534    3.14461   41.10984
  94.29455    3.11301   40.69678
  94.41376    3.05730   39.96838
  94.53297    3.19032   41.70870
  94.65218    3.22609   42.17410
  94.77139    3.04036   39.74693
  94.89059    3.27931   42.87216
  95.00980    3.17134   41.46027
  95.12901    3.14352   41.09591
  95.24822    2.99106   39.10159
  95.36743    3.07139   40.15242
  95.48664    3.21649   42.04878
  95.60585    3.23896   42.34315
  95.72506    3.24710   42.44974
  95.84427    3.25995   42.61581
  95.96348    3.43370   44.88923
  96.08269    3.25182   42.51273
  96.20190    2.99730   39.18486
  96.32111    3.09677   40.48497
  96.44032    3.14042   41.05665
  96.55952    3.22796   42.19895
  96.67873    3.24499   42.42195
  96.79794    3.25812   42.59168
  96.91715    3.27544   42.82028
  97.03636    3.25753   42.58710
  97.15557    3.14287   41.08888
  97.27478    2.97839   38.93600
  97.39399    2.86281   37.42533
  97.51320    3.10941   40.64910
  97.63241    3.19127   41.71907
  97.75162    3.04699   39.83401
  97.87083    3.04275   39.78115
  97.99004    3.30817   43.24902
  98.10925    3.31264   43.30769
  98.22845    3.15399   41.23463
  98.34766    3.21096   41.97827
  98.46687    3.08224   40.29556
  98.58608    2.99129   39.10903
  98.70529    3.10084   40.54126
  98.82450    3.17687   41.53356
  98.94371    3.30687   43.23051
  99.06292    3.22031   42.09975
  99.18213    3.13306   40.96024
  99.30134    2.96702   38.78783
  99.42055    3.14909   41.16912
  99.53976    3.00930   39.34188
  99.65897    3.02326   39.52452
  99.77818    3.14178   41.07334
  99.89738    3.28691   42.96903
 100.01659    3.21018   41.96780
 100.13580    3.22647   42.18200
 100.25501    3.03342   39.65776
 100.37422    2.96370   38.74307
 100.49343    3.11676   40.74511
 100.61264    3.17183   41.46777
 100.73185    3.33552   43.60575
 100.85106    3.17845   41.55224
 100.97027    3.14252   41.08304
 101.08948    3.18574   41.65055
 101.20869    3.19670   41.79076
 101.32790    3.03907   39.72889
 101.44711    2.98637   39.04105
 101.56631    3.10645   40.61143
 101.68552    3.06526   40.06984
 101.80473    3.13618   40.99790
 101.92394    3.18955   41.69663
 102.04315    3.05665   39.95828
 102.16236    2.89182   37.80579
 102.28157    3.05561   39.95044
 102.40078    2.91147   38.06337
 102.51999    2.98545   39.02856
 102.63920    3.11601   40.73746
 102.75841    3.04331   39.78551
 102.87762    3.03867   39.72507
 102.99683    3.05860   39.98339
 103.11604    3.06936   40.12436
 103.23524    3.36720   44.02097
 103.35445    3.21322   42.00613
 103.47366    2.99053   39.09512
 103.59287    3.14633   41.13247
 103.71208    3.26951   42.74336
