R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
240.0000000000000,3.9225830935837,-1591.611240541,3.9226242427345,-1591.965468602,3.9226242427345,-1591.965468602,3.9226388607921,-1591.649273091
242.5000000000000,3.8677028737847,-1575.200985849,3.8677429565266,-1575.558874470,3.8677429565266,-1575.558874470,3.8677593665267,-1575.239418239
245.0000000000000,3.8141887614854,-1559.125452244,3.8142277989982,-1559.487001881,3.8142277989982,-1559.487001881,3.8142459762185,-1559.164284416
247.5000000000000,3.7619925847897,-1543.374500679,3.7620305981119,-1543.739711787,3.7620305981119,-1543.739711787,3.7620505179425,-1543.413732576
250.0000000000000,3.7110683631790,-1527.938397511,3.7111053732079,-1528.307270542,3.7111053732079,-1528.307270542,3.7111270111515,-1527.978029077
252.5000000000000,3.6613721860337,-1512.807794437,3.6614082135253,-1513.180329841,3.6614082135253,-1513.180329841,3.6614315451981,-1512.847825616
255.0000000000000,3.6128620990745,-1497.973709617,3.6128971646434,-1498.349907839,3.6128971646434,-1498.349907839,3.6129221657756,-1498.014140353
257.5000000000000,3.5654979982283,-1483.427509884,3.5655321223475,-1483.807371369,3.5655321223475,-1483.807371369,3.5655587687841,-1483.468340121
260.0000000000000,3.5192415300042,-1469.160893994,3.5192747330050,-1469.544419181,3.5192747330050,-1469.544419181,3.5193030007065,-1469.202123678
262.5000000000000,3.4740559984864,-1455.165876821,3.4740883005587,-1455.553066148,3.4740883005587,-1455.553066148,3.4741181656017,-1455.207505897
265.0000000000000,3.4299063082448,-1441.434774462,3.4299377294188,-1441.825628363,3.4299377294195,-1441.825628363,3.4299691680158,-1441.476802876
267.5000000000000,3.3867587305870,-1427.960190130,3.3867892908048,-1428.354709037,3.3867892908048,-1428.354709037,3.3868222792285,-1428.002617827
270.0000000000000,3.3445811302824,-1414.735000933,3.3446108492906,-1415.133185275,3.3446108492906,-1415.133185275,3.3446453639891,-1414.777827861
272.5000000000000,3.3033425896572,-1401.752345251,3.3033714870785,-1402.154195453,3.3033714870785,-1402.154195453,3.3034075045994,-1401.795571357
275.0000000000000,3.2630134925370,-1389.005610894,3.2630415878521,-1389.411127380,3.2630415878521,-1389.411127380,3.2630790848628,-1389.049236125
277.5000000000000,3.2235654299863,-1376.488423867,3.2235927425341,-1376.897607056,3.2235927425341,-1376.897607056,3.2236316958218,-1376.532448170
280.0000000000000,3.1849711402612,-1364.194637736,3.1849976892385,-1364.607488046,3.1849976892385,-1364.607488046,3.1850380757115,-1364.239061061
282.5000000000000,3.1472044522098,-1352.118323567,3.1472302566713,-1352.534841411,3.1472302566713,-1352.534841411,3.1472720533591,-1352.163145860
285.0000000000000,3.1102402319907,-1340.253760385,3.1102653108492,-1340.673946175,3.1102653108492,-1340.673946175,3.1103084949037,-1340.298981597
287.5000000000000,3.0740543328712,-1328.595426139,3.0740787048972,-1329.019280284,3.0740787048972,-1329.019280284,3.0741232535931,-1328.641046219
290.0000000000000,3.0386235477871,-1317.137989131,3.0386472316091,-1317.565512035,3.0386472316091,-1317.565512035,3.0386931223443,-1317.184008028
292.5000000000000,3.0039255647422,-1305.876299880,3.0039485788463,-1306.307491945,3.0039485788463,-1306.307491945,3.0039957891433,-1305.922717545
295.0000000000000,2.9699389245803,-1294.805383406,2.9699612873106,-1295.240245033,2.9699612873107,-1295.240245033,2.9700097948164,-1294.852199789
297.5000000000000,2.9366429810793,-1283.920431903,2.9366647106377,-1284.358963488,2.9366647106377,-1284.358963488,2.9367144931249,-1283.967646955
300.0000000000000,2.9040178633882,-1273.216797769,2.9040389778342,-1273.658999706,2.9040389778342,-1273.658999706,2.9040900132016,-1273.264411442
