 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 01/25/2020 18:01:40
Project Date: 01/24/2020 17:33:00
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 700.0
dist2capedge = 690.0
1480.000000000000,-1.75089555e-10,2.2660849818e-4
1485.000000000000,-1.76148284e-10,2.2737470118e-4
1490.000000000000,-1.77167004e-10,2.2814090889e-4
1495.000000000000,-1.78145216e-10,2.2890712132e-4
1500.000000000000,-1.79082419e-10,2.2967333848e-4
1505.000000000000,-1.79978112e-10,2.3043956036e-4
1510.000000000000,-1.80831794e-10,2.3120578698e-4
1515.000000000000,-1.81642966e-10,2.3197201832e-4
1520.000000000000,-1.82411126e-10,2.3273825441e-4
1525.000000000000,-1.83135768e-10,2.3350449523e-4
1530.000000000000,-1.83816393e-10,2.3427074080e-4
1535.000000000000,-1.84452496e-10,2.3503699112e-4
1540.000000000000,-1.85043574e-10,2.3580324619e-4
1545.000000000000,-1.85589121e-10,2.3656950601e-4
1550.000000000000,-1.86088633e-10,2.3733577059e-4
1555.000000000000,-1.86541605e-10,2.3810203993e-4
1560.000000000000,-1.86947531e-10,2.3886831404e-4
1565.000000000000,-1.87305902e-10,2.3963459291e-4
1570.000000000000,-1.87616215e-10,2.4040087656e-4
1575.000000000000,-1.87877961e-10,2.4116716498e-4
1580.000000000000,-1.88090631e-10,2.4193345817e-4
1585.000000000000,-1.88253714e-10,2.4269975615e-4
1590.000000000000,-1.88366706e-10,2.4346605892e-4
1595.000000000000,-1.88429096e-10,2.4423236647e-4
1600.000000000000,-1.88440372e-10,2.4499867881e-4
1605.000000000000,-1.88400024e-10,2.4576499595e-4
1610.000000000000,-1.88307540e-10,2.4653131788e-4
1615.000000000000,-1.88162410e-10,2.4729764462e-4
1620.000000000000,-1.87964121e-10,2.4806397616e-4
1625.000000000000,-1.87712160e-10,2.4883031252e-4
1630.000000000000,-1.87406015e-10,2.4959665368e-4
1635.000000000000,-1.87045173e-10,2.5036299966e-4
1640.000000000000,-1.86629113e-10,2.5112935045e-4
1645.000000000000,-1.86157329e-10,2.5189570607e-4
1650.000000000000,-1.85629298e-10,2.5266206652e-4
1655.000000000000,-1.85044511e-10,2.5342843179e-4
1660.000000000000,-1.84402449e-10,2.5419480190e-4
1665.000000000000,-1.83702590e-10,2.5496117684e-4
1670.000000000000,-1.82944425e-10,2.5572755662e-4
1675.000000000000,-1.82127431e-10,2.5649394124e-4
1680.000000000000,-1.81251090e-10,2.5726033071e-4
1685.000000000000,-1.80314884e-10,2.5802672503e-4
1690.000000000000,-1.79318292e-10,2.5879312420e-4
1695.000000000000,-1.78260795e-10,2.5955952822e-4
1700.000000000000,-1.77141873e-10,2.6032593711e-4
1705.000000000000,-1.75961004e-10,2.6109235085e-4
1710.000000000000,-1.74717666e-10,2.6185876947e-4
1715.000000000000,-1.73411337e-10,2.6262519295e-4
1720.000000000000,-1.72041497e-10,2.6339162131e-4
1725.000000000000,-1.70607620e-10,2.6415805454e-4
1730.000000000000,-1.69109182e-10,2.6492449265e-4
1735.000000000000,-1.67545659e-10,2.6569093565e-4
1740.000000000000,-1.65916526e-10,2.6645738353e-4
1745.000000000000,-1.64221261e-10,2.6722383630e-4
1750.000000000000,-1.62459336e-10,2.6799029396e-4
1755.000000000000,-1.60630223e-10,2.6875675652e-4
1760.000000000000,-1.58733397e-10,2.6952322398e-4
1765.000000000000,-1.56768329e-10,2.7028969635e-4
1770.000000000000,-1.54734497e-10,2.7105617362e-4
1775.000000000000,-1.52631364e-10,2.7182265580e-4
1780.000000000000,-1.50458405e-10,2.7258914289e-4
1785.000000000000,-1.48215093e-10,2.7335563490e-4
1790.000000000000,-1.45900892e-10,2.7412213183e-4
1795.000000000000,-1.43515277e-10,2.7488863369e-4
1800.000000000000,-1.41057717e-10,2.7565514047e-4
1805.000000000000,-1.38527678e-10,2.7642165218e-4
1810.000000000000,-1.35924628e-10,2.7718816883e-4
1815.000000000000,-1.33248034e-10,2.7795469041e-4
1820.000000000000,-1.30497363e-10,2.7872121694e-4
1825.000000000000,-1.27672084e-10,2.7948774840e-4
1830.000000000000,-1.24771662e-10,2.8025428482e-4
1835.000000000000,-1.21795560e-10,2.8102082619e-4
1840.000000000000,-1.18743243e-10,2.8178737251e-4
1845.000000000000,-1.15614180e-10,2.8255392378e-4
1850.000000000000,-1.12407831e-10,2.8332048002e-4
1855.000000000000,-1.09123657e-10,2.8408704123e-4
1860.000000000000,-1.05761124e-10,2.8485360740e-4
1865.000000000000,-1.02319694e-10,2.8562017854e-4
1870.000000000000,-9.87988271e-11,2.8638675465e-4
1875.000000000000,-9.51979861e-11,2.8715333575e-4
1880.000000000000,-9.15166333e-11,2.8791992182e-4
1885.000000000000,-8.77542246e-11,2.8868651288e-4
1890.000000000000,-8.39102201e-11,2.8945310893e-4
1895.000000000000,-7.99840823e-11,2.9021970997e-4
1900.000000000000,-7.59752679e-11,2.9098631600e-4
1905.000000000000,-7.18832360e-11,2.9175292704e-4
1910.000000000000,-6.77074402e-11,2.9251954307e-4
1915.000000000000,-6.34473405e-11,2.9328616411e-4
1920.000000000000,-5.91023937e-11,2.9405279015e-4
1925.000000000000,-5.46720566e-11,2.9481942121e-4
1930.000000000000,-5.01557803e-11,2.9558605729e-4
1935.000000000000,-4.55530250e-11,2.9635269838e-4
1940.000000000000,-4.08632406e-11,2.9711934449e-4
1945.000000000000,-3.60858817e-11,2.9788599563e-4
1950.000000000000,-3.12204072e-11,2.9865265180e-4
1955.000000000000,-2.62662625e-11,2.9941931300e-4
1960.000000000000,-2.12229033e-11,3.0018597923e-4
1965.000000000000,-1.60897806e-11,3.0095265051e-4
1970.000000000000,-1.08663477e-11,3.0171932682e-4
1975.000000000000,-5.55205336e-12,3.0248600819e-4
1980.000000000000,-1.46346438e-13,3.0325269460e-4
1985.000000000000,5.351319863e-12,3.0401938606e-4
1990.000000000000,1.094150123e-11,3.0478608258e-4
1995.000000000000,1.662474446e-11,3.0555278416e-4
2000.000000000000,2.240159968e-11,3.0631949080e-4
 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 01/25/2020 18:01:40
Project Date: 01/24/2020 17:33:00
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 702.0
dist2capedge = 690.0
100.0000000000000,6.242561512e-12,1.5306165846e-5
105.0000000000000,1.138060879e-11,1.6071266267e-5
110.0000000000000,1.644071680e-11,1.6836370469e-5
115.0000000000000,2.142324391e-11,1.7601478457e-5
120.0000000000000,2.632854849e-11,1.8366590233e-5
125.0000000000000,3.115698110e-11,1.9131705800e-5
130.0000000000000,3.590890561e-11,1.9896825163e-5
135.0000000000000,4.058467923e-11,2.0661948324e-5
140.0000000000000,4.518465800e-11,2.1427075288e-5
145.0000000000000,4.970920352e-11,2.2192206056e-5
150.0000000000000,5.415867516e-11,2.2957340634e-5
155.0000000000000,5.853343225e-11,2.3722479023e-5
160.0000000000000,6.283383745e-11,2.4487621228e-5
165.0000000000000,6.706025227e-11,2.5252767252e-5
170.0000000000000,7.121303599e-11,2.6017917098e-5
175.0000000000000,7.529255344e-11,2.6783070770e-5
180.0000000000000,7.929916609e-11,2.7548228272e-5
185.0000000000000,8.323323871e-11,2.8313389605e-5
190.0000000000000,8.709513607e-11,2.9078554775e-5
195.0000000000000,9.088521958e-11,2.9843723784e-5
200.0000000000000,9.460385508e-11,3.0608896635e-5
205.0000000000000,9.825140728e-11,3.1374073333e-5
210.0000000000000,1.018282464e-10,3.2139253880e-5
215.0000000000000,1.053347361e-10,3.2904438280e-5
220.0000000000000,1.087712420e-10,3.3669626537e-5
225.0000000000000,1.121381366e-10,3.4434818653e-5
230.0000000000000,1.154357813e-10,3.5200014632e-5
235.0000000000000,1.186645482e-10,3.5965214477e-5
240.0000000000000,1.218248077e-10,3.6730418193e-5
245.0000000000000,1.249169276e-10,3.7495625782e-5
250.0000000000000,1.279412791e-10,3.8260837247e-5
255.0000000000000,1.308982334e-10,3.9026052593e-5
260.0000000000000,1.337881573e-10,3.9791271822e-5
265.0000000000000,1.366114285e-10,4.0556494938e-5
270.0000000000000,1.393684139e-10,4.1321721944e-5
275.0000000000000,1.420594923e-10,4.2086952843e-5
280.0000000000000,1.446850315e-10,4.2852187640e-5
285.0000000000000,1.472454081e-10,4.3617426337e-5
290.0000000000000,1.497409933e-10,4.4382668938e-5
295.0000000000000,1.521721681e-10,4.5147915447e-5
300.0000000000000,1.545393012e-10,4.5913165866e-5
305.0000000000000,1.568427739e-10,4.6678420199e-5
310.0000000000000,1.590829570e-10,4.7443678449e-5
315.0000000000000,1.612602305e-10,4.8208940620e-5
320.0000000000000,1.633749753e-10,4.8974206716e-5
325.0000000000000,1.654275636e-10,4.9739476739e-5
330.0000000000000,1.674183740e-10,5.0504750693e-5
335.0000000000000,1.693477898e-10,5.1270028581e-5
340.0000000000000,1.712161895e-10,5.2035310407e-5
345.0000000000000,1.730239464e-10,5.2800596175e-5
350.0000000000000,1.747714492e-10,5.3565885887e-5
355.0000000000000,1.764590775e-10,5.4331179547e-5
360.0000000000000,1.780872111e-10,5.5096477158e-5
365.0000000000000,1.796562309e-10,5.5861778724e-5
370.0000000000000,1.811665199e-10,5.6627084249e-5
375.0000000000000,1.826184623e-10,5.7392393734e-5
380.0000000000000,1.840124444e-10,5.8157707185e-5
385.0000000000000,1.853488459e-10,5.8923024605e-5
390.0000000000000,1.866280542e-10,5.9688345995e-5
395.0000000000000,1.878504512e-10,6.0453671362e-5
400.0000000000000,1.890164254e-10,6.1219000706e-5
405.0000000000000,1.901263643e-10,6.1984334033e-5
410.0000000000000,1.911806517e-10,6.2749671345e-5
415.0000000000000,1.921796741e-10,6.3515012645e-5
420.0000000000000,1.931238242e-10,6.4280357938e-5
425.0000000000000,1.940134829e-10,6.5045707226e-5
430.0000000000000,1.948490461e-10,6.5811060514e-5
435.0000000000000,1.956309014e-10,6.6576417803e-5
440.0000000000000,1.963594348e-10,6.7341779098e-5
445.0000000000000,1.970350425e-10,6.8107144403e-5
450.0000000000000,1.976581074e-10,6.8872513719e-5
455.0000000000000,1.982290277e-10,6.9637887052e-5
460.0000000000000,1.987481941e-10,7.0403264404e-5
465.0000000000000,1.992159994e-10,7.1168645779e-5
470.0000000000000,1.996328340e-10,7.1934031180e-5
475.0000000000000,1.999990930e-10,7.2699420610e-5
480.0000000000000,2.003151691e-10,7.3464814073e-5
485.0000000000000,2.005814584e-10,7.4230211572e-5
490.0000000000000,2.007983546e-10,7.4995613111e-5
495.0000000000000,2.009662560e-10,7.5761018693e-5
500.0000000000000,2.010855553e-10,7.6526428322e-5
505.0000000000000,2.011566497e-10,7.7291842000e-5
510.0000000000000,2.011799361e-10,7.8057259732e-5
515.0000000000000,2.011558141e-10,7.8822681520e-5
520.0000000000000,2.010846794e-10,7.9588107368e-5
525.0000000000000,2.009669336e-10,8.0353537280e-5
530.0000000000000,2.008029749e-10,8.1118971258e-5
535.0000000000000,2.005931992e-10,8.1884409307e-5
540.0000000000000,2.003380113e-10,8.2649851429e-5
545.0000000000000,2.000378105e-10,8.3415297628e-5
550.0000000000000,1.996929970e-10,8.4180747908e-5
555.0000000000000,1.993039757e-10,8.4946202272e-5
560.0000000000000,1.988711425e-10,8.5711660722e-5
565.0000000000000,1.983949064e-10,8.6477123263e-5
570.0000000000000,1.978756689e-10,8.7242589899e-5
575.0000000000000,1.973138337e-10,8.8008060631e-5
580.0000000000000,1.967098043e-10,8.8773535464e-5
585.0000000000000,1.960639843e-10,8.9539014402e-5
590.0000000000000,1.953767828e-10,9.0304497447e-5
595.0000000000000,1.946486045e-10,9.1069984603e-5
600.0000000000000,1.938798541e-10,9.1835475873e-5
605.0000000000000,1.930709396e-10,9.2600971261e-5
610.0000000000000,1.922222667e-10,9.3366470770e-5
